activityLevel,elapsed_min,lowestRespirationValue,highestRespirationValue,avgWakingRespirationValue,avgSleepRespirationValue,averageRespirationValue_num,averageSpO2HRSleep_num,averageSpO2Value_num,avgSleepStress_num,awakeCount_num,awakeSleepSeconds_num,deepSleepSeconds_num,highestRespirationValue_num,highestSpO2Value_num,lightSleepSeconds_num,lowestRespirationValue_num,lowestSpO2Value_num,remSleepSeconds_num,sleepEndTimestampGMT_dt,sleepStartTimestampGMT_dt,sleepTimeSeconds_num,tot_sleep_hours,Prin1,Prin2,rownum,CLUSTER
-0.381250418,1.1555089977,1.2670167264,0.5869265741,0.0584992647,0.4099131606,0.4099131606,0.7637859664,1.1541699684,0.9087354609,0.8995592577,0.5142119069,0.6984838986,0.5846521888,0.4934776179,-0.449441461,0.3176762987,0.9358206989,-1.094635628,-0.098540577,-0.097143756,-0.601974672,-0.366076001,1.6827592384,0.2183863183,91,1
0.5308550119,-0.890237835,1.2670167264,0.5869265741,0.0584992647,0.4099131606,0.4099131606,0.7637859664,1.1541699684,0.9087354609,0.8995592577,0.5142119069,0.6984838986,0.5846521888,0.4934776179,-0.449441461,0.3176762987,0.9358206989,-1.094635628,-0.098540577,-0.097143756,-0.601974672,-0.366076001,1.6708069727,0.0420229656,92,1
1.4429604415,-0.769306988,1.2670167264,0.5869265741,0.0584992647,0.4099131606,0.4099131606,0.7637859664,1.1541699684,0.9087354609,0.8995592577,0.5142119069,0.6984838986,0.5846521888,0.4934776179,-0.449441461,0.3176762987,0.9358206989,-1.094635628,-0.098540577,-0.097143756,-0.601974672,-0.366076001,1.674973661,0.0759903265,93,1
-1.293355847,0.2182949313,-0.919888856,0.5869265741,-1.169985294,0.4099131606,0.4099131606,0.3356962514,0.4474315296,-0.194353827,-0.95854675,-0.893116088,1.6717473669,0.5846521888,0.4934776179,-1.06212673,-0.356939661,-0.364970073,0.3854431508,-0.035611689,-0.033709638,-0.266891078,-0.494705473,-0.633096896,-1.922410135,94,3
-0.381250418,0.7322510323,-0.919888856,0.5869265741,-1.169985294,0.4099131606,0.4099131606,0.3356962514,0.4474315296,-0.194353827,-0.95854675,-0.893116088,1.6717473669,0.5846521888,0.4934776179,-1.06212673,-0.356939661,-0.364970073,0.3854431508,-0.035611689,-0.033709638,-0.266891078,-0.494705473,-0.626006304,-1.850289761,95,3
0.5308550119,-0.477057441,-0.919888856,0.5869265741,-1.169985294,0.4099131606,0.4099131606,0.3356962514,0.4474315296,-0.194353827,-0.95854675,-0.893116088,1.6717473669,0.5846521888,0.4934776179,-1.06212673,-0.356939661,-0.364970073,0.3854431508,-0.035611689,-0.033709638,-0.266891078,-0.494705473,-0.631735904,-1.945455675,96,3
-1.293355847,-0.13442004,0.1735639351,0.5869265741,1.2869838238,0.4099131606,0.4099131606,0.3356962514,-0.966045348,0.0262640307,-0.029493746,1.7204930457,0.3091785113,1.1693043775,-0.851490792,0.513349675,-0.356939661,-0.364970073,-0.264347533,0.0369791453,0.0333911967,0.5010088237,0.9345108894,1.555407991,1.7011698841,97,2
-0.381250418,1.8206286578,0.1735639351,0.5869265741,1.2869838238,0.4099131606,0.4099131606,0.3356962514,-0.966045348,0.0262640307,-0.029493746,1.7204930457,0.3091785113,1.1693043775,-0.851490792,0.513349675,-0.356939661,-0.364970073,-0.264347533,0.0369791453,0.0333911967,0.5010088237,0.9345108894,1.5732195613,1.9131846395,98,2
0.5308550119,-0.658453711,0.1735639351,0.5869265741,1.2869838238,0.4099131606,0.4099131606,0.3356962514,-0.966045348,0.0262640307,-0.029493746,1.7204930457,0.3091785113,1.1693043775,-0.851490792,0.513349675,-0.356939661,-0.364970073,-0.264347533,0.0369791453,0.0333911967,0.5010088237,0.9345108894,1.5580435048,1.6947551442,99,2
1.4429604415,-0.46697987,0.1735639351,0.5869265741,1.2869838238,0.4099131606,0.4099131606,0.3356962514,-0.966045348,0.0262640307,-0.029493746,1.7204930457,0.3091785113,1.1693043775,-0.851490792,0.513349675,-0.356939661,-0.364970073,-0.264347533,0.0369791453,0.0333911967,0.5010088237,0.9345108894,1.5627349962,1.7355704818,100,2
-1.293355847,0.2586052138,-0.919888856,-1.588154259,0.0584992647,0.4099131606,0.4099131606,-0.520483179,-0.259306909,-0.745898471,-0.029493746,-0.00850992,1.8274695218,0,0.4934776179,-0.464029206,0.3176762987,-1.665760844,-1.27513304,0.1002230554,0.1011739628,-0.28271447,-0.24459261,-0.644789532,-0.827120576,101,3
-0.381250418,1.144087751,-0.919888856,-1.588154259,0.0584992647,0.4099131606,0.4099131606,-0.520483179,-0.259306909,-0.745898471,-0.029493746,-0.00850992,1.8274695218,0,0.4934776179,-0.464029206,0.3176762987,-1.665760844,-1.27513304,0.1002230554,0.1011739628,-0.28271447,-0.24459261,-0.634934978,-0.718934191,102,3
0.5308550119,-0.940625688,-0.919888856,-1.588154259,0.0584992647,0.4099131606,0.4099131606,-0.520483179,-0.259306909,-0.745898471,-0.029493746,-0.00850992,1.8274695218,0,0.4934776179,-0.464029206,0.3176762987,-1.665760844,-1.27513304,0.1002230554,0.1011739628,-0.28271447,-0.24459261,-0.647177135,-0.899080235,103,3
1.4429604415,-0.900315406,-0.919888856,-1.588154259,0.0584992647,0.4099131606,0.4099131606,-0.520483179,-0.259306909,-0.745898471,-0.029493746,-0.00850992,1.8274695218,0,0.4934776179,-0.464029206,0.3176762987,-1.665760844,-1.27513304,0.1002230554,0.1011739628,-0.28271447,-0.24459261,-0.643610221,-0.872939134,104,3
-1.293355847,-0.396436876,1.2670167264,-1.588154259,1.2869838238,-1.011620552,-1.011620552,-1.162617751,-0.966045348,-1.076825257,-0.029493746,-0.450813004,-0.703015496,-0.584652189,-0.851490792,0.8488677982,-0.356939661,-2.31615623,-0.336546497,0.1656225398,0.1647385176,0.4311997417,0.2341948717,-1.563898199,1.682032666,105,3
-0.381250418,2.0524127817,1.2670167264,-1.588154259,1.2869838238,-1.011620552,-1.011620552,-1.162617751,-0.966045348,-1.076825257,-0.029493746,-0.450813004,-0.703015496,-0.584652189,-0.851490792,0.8488677982,-0.356939661,-2.31615623,-0.336546497,0.1656225398,0.1647385176,0.4311997417,0.2341948717,-1.542413006,1.9419832585,106,3
0.5308550119,-0.678608853,1.2670167264,-1.588154259,1.2869838238,-1.011620552,-1.011620552,-1.162617751,-0.966045348,-1.076825257,-0.029493746,-0.450813004,-0.703015496,-0.584652189,-0.851490792,0.8488677982,-0.356939661,-2.31615623,-0.336546497,0.1656225398,0.1647385176,0.4311997417,0.2341948717,-1.55946336,1.6990967035,107,3
1.4429604415,-1.011168683,1.2670167264,-1.588154259,1.2869838238,-1.011620552,-1.011620552,-1.162617751,-0.966045348,-1.076825257,-0.029493746,-0.450813004,-0.703015496,-0.584652189,-0.851490792,0.8488677982,-0.356939661,-2.31615623,-0.336546497,0.1656225398,0.1647385176,0.4311997417,0.2341948717,-1.558670406,1.6890413569,108,3
-1.293355847,-0.557678005,0.1735639351,-0.500613843,0.0584992647,0.4099131606,0.4099131606,-0.520483179,-1.672783787,0.0262640307,0.8995592577,0.9565149911,-1.325904115,0.5846521888,0.4934776179,-1.251767408,0.3176762987,-0.690167765,1.540626588,0.2950264111,0.2974870781,-1.076676429,-0.63762711,0.2039848571,-0.586189396,109,1
-0.381250418,0.6012426144,0.1735639351,-0.500613843,0.0584992647,0.4099131606,0.4099131606,-0.520483179,-1.672783787,0.0262640307,0.8995592577,0.9565149911,-1.325904115,0.5846521888,0.4934776179,-1.251767408,0.3176762987,-0.690167765,1.540626588,0.2950264111,0.2974870781,-1.076676429,-0.63762711,0.215873649,-0.451458949,110,1
0.5308550119,-0.154575181,0.1735639351,-0.500613843,0.0584992647,0.4099131606,0.4099131606,-0.520483179,-1.672783787,0.0262640307,0.8995592577,0.9565149911,-1.325904115,0.5846521888,0.4934776179,-1.251767408,0.3176762987,-0.690167765,1.540626588,0.2950264111,0.2974870781,-1.076676429,-0.63762711,0.2135177838,-0.502602156,111,1
1.4429604415,-0.658453711,0.1735639351,-0.500613843,0.0584992647,0.4099131606,0.4099131606,-0.520483179,-1.672783787,0.0262640307,0.8995592577,0.9565149911,-1.325904115,0.5846521888,0.4934776179,-1.251767408,0.3176762987,-0.690167765,1.540626588,0.2950264111,0.2974870781,-1.076676429,-0.63762711,0.2130362156,-0.529288303,112,1
-1.293355847,-0.174730322,0.1735639351,0.5869265741,0.0584992647,0.4099131606,0.4099131606,-0.734528036,1.1541699684,-0.414971684,-0.95854675,-0.893116088,0.1534563564,-0.584652189,0.4934776179,-1.397644853,0.3176762987,1.2610183918,0.313244186,0.3630070928,0.3678495894,-1.160447327,-1.259336227,-0.897594241,-2.496701332,113,3
-0.381250418,0.5004669083,0.1735639351,0.5869265741,0.0584992647,0.4099131606,0.4099131606,-0.734528036,1.1541699684,-0.414971684,-0.95854675,-0.893116088,0.1534563564,-0.584652189,0.4934776179,-1.397644853,0.3176762987,1.2610183918,0.313244186,0.3630070928,0.3678495894,-1.160447327,-1.259336227,-0.889304099,-2.40892844,114,3
0.5308550119,-0.497212582,0.1735639351,0.5869265741,0.0584992647,0.4099131606,0.4099131606,-0.734528036,1.1541699684,-0.414971684,-0.95854675,-0.893116088,0.1534563564,-0.584652189,0.4934776179,-1.397644853,0.3176762987,1.2610183918,0.313244186,0.3630070928,0.3678495894,-1.160447327,-1.259336227,-0.893459289,-2.483550424,115,3
-1.293355847,0.1578295077,0.1735639351,0.5869265741,0.0584992647,-0.300853696,-0.300853696,0.1216513938,-2.379522226,-0.084044898,1.8286122616,0.8760962486,1.4381641345,0,0.4934776179,0.7613413313,0.3176762987,-1.015365458,-0.336546497,0.4360769436,0.4314477068,1.115328745,1.2060619984,1.0236520406,2.7172802621,116,2
-0.381250418,1.9919473581,0.1735639351,0.5869265741,0.0584992647,-0.300853696,-0.300853696,0.1216513938,-2.379522226,-0.084044898,1.8286122616,0.8760962486,1.4381641345,0,0.4934776179,0.7613413313,0.3176762987,-1.015365458,-0.336546497,0.4360769436,0.4314477068,1.115328745,1.2060619984,1.0405639484,2.9175556289,117,2
0.5308550119,-0.678608853,0.1735639351,0.5869265741,0.0584992647,-0.300853696,-0.300853696,0.1216513938,-2.379522226,-0.084044898,1.8286122616,0.8760962486,1.4381641345,0,0.4934776179,0.7613413313,0.3176762987,-1.015365458,-0.336546497,0.4360769436,0.4314477068,1.115328745,1.2060619984,1.0239634261,2.6805387682,118,2
1.4429604415,-0.678608853,0.1735639351,0.5869265741,0.0584992647,-0.300853696,-0.300853696,0.1216513938,-2.379522226,-0.084044898,1.8286122616,0.8760962486,1.4381641345,0,0.4934776179,0.7613413313,0.3176762987,-1.015365458,-0.336546497,0.4360769436,0.4314477068,1.115328745,1.2060619984,1.0272304519,2.7027667404,119,2
-1.293355847,-0.013489193,-0.919888856,1.6744669909,0.0584992647,1.8314468736,1.8314468736,0.3356962514,-0.966045348,1.4602801048,-0.95854675,-0.893116088,0.7763449761,1.7539565663,-2.196459201,-1.74775072,0.9922922588,-0.03977238,-1.094635628,0.484879421,0.4919061935,-1.825727879,-1.823876691,2.7232390734,-4.601782842,120,1
-0.381250418,0.2586052138,-0.919888856,1.6744669909,0.0584992647,1.8314468736,1.8314468736,0.3356962514,-0.966045348,1.4602801048,-0.95854675,-0.893116088,0.7763449761,1.7539565663,-2.196459201,-1.74775072,0.9922922588,-0.03977238,-1.094635628,0.484879421,0.4919061935,-1.825727879,-1.823876691,2.7285303399,-4.553141245,121,1
0.5308550119,-0.896788256,-0.919888856,1.6744669909,0.0584992647,1.8314468736,1.8314468736,0.3356962514,-0.966045348,1.4602801048,-0.95854675,-0.893116088,0.7763449761,1.7539565663,-2.196459201,-1.74775072,0.9922922588,-0.03977238,-1.094635628,0.484879421,0.4919061935,-1.825727879,-1.823876691,2.7232018397,-4.643073348,122,1
-1.293355847,-0.265428458,0.1735639351,-1.588154259,1.2869838238,-0.300853696,-0.300853696,-0.092393464,-0.966045348,-0.194353827,-0.029493746,-0.249766148,-0.196918492,0.5846521888,-3.541427611,-0.405678228,0.3176762987,-0.690167765,1.1796317639,0.5581796269,0.5584967238,-0.001616567,-0.080232728,-0.19740793,-0.392465509,123,1
-0.381250418,1.1857417095,0.1735639351,-1.588154259,1.2869838238,-0.300853696,-0.300853696,-0.092393464,-0.966045348,-0.194353827,-0.029493746,-0.249766148,-0.196918492,0.5846521888,-3.541427611,-0.405678228,0.3176762987,-0.690167765,1.1796317639,0.5581796269,0.5584967238,-0.001616567,-0.080232728,-0.183344954,-0.229364873,124,1
0.5308550119,-0.255350887,0.1735639351,-1.588154259,1.2869838238,-0.300853696,-0.300853696,-0.092393464,-0.966045348,-0.194353827,-0.029493746,-0.249766148,-0.196918492,0.5846521888,-3.541427611,-0.405678228,0.3176762987,-0.690167765,1.1796317639,0.5581796269,0.5584967238,-0.001616567,-0.080232728,-0.190798907,-0.347031283,125,1
1.4429604415,-0.96078083,0.1735639351,-1.588154259,1.2869838238,-0.300853696,-0.300853696,-0.092393464,-0.966045348,-0.194353827,-0.029493746,-0.249766148,-0.196918492,0.5846521888,-3.541427611,-0.405678228,0.3176762987,-0.690167765,1.1796317639,0.5581796269,0.5584967238,-0.001616567,-0.080232728,-0.192779913,-0.393283078,126,1
