"calendarDate","startGMT","endGMT","activityLevel","key","startTimeGMT","endTimeGMT","startTimeLocal","endTimeLocal"
2025-08-25,"2025-08-25T06:07:18.0","2025-08-25T07:14:18.0",1,7,2025-08-25 06:07:18,2025-08-25 07:14:18,2025-08-25 02:07:18,2025-08-25 03:14:18
2025-08-25,"2025-08-25T07:14:18.0","2025-08-25T07:25:18.0",0,8,2025-08-25 07:14:18,2025-08-25 07:25:18,2025-08-25 03:14:18,2025-08-25 03:25:18
2025-08-25,"2025-08-25T07:25:18.0","2025-08-25T07:33:18.0",1,9,2025-08-25 07:25:18,2025-08-25 07:33:18,2025-08-25 03:25:18,2025-08-25 03:33:18
2025-08-25,"2025-08-25T07:33:18.0","2025-08-25T07:54:18.0",0,10,2025-08-25 07:33:18,2025-08-25 07:54:18,2025-08-25 03:33:18,2025-08-25 03:54:18
2025-08-25,"2025-08-25T07:54:18.0","2025-08-25T07:55:18.0",3,11,2025-08-25 07:54:18,2025-08-25 07:55:18,2025-08-25 03:54:18,2025-08-25 03:55:18
2025-08-25,"2025-08-25T07:55:18.0","2025-08-25T08:18:18.0",1,12,2025-08-25 07:55:18,2025-08-25 08:18:18,2025-08-25 03:55:18,2025-08-25 04:18:18
2025-08-25,"2025-08-25T08:18:18.0","2025-08-25T09:15:18.0",2,13,2025-08-25 08:18:18,2025-08-25 09:15:18,2025-08-25 04:18:18,2025-08-25 05:15:18
2025-08-25,"2025-08-25T09:15:18.0","2025-08-25T10:08:18.0",1,14,2025-08-25 09:15:18,2025-08-25 10:08:18,2025-08-25 05:15:18,2025-08-25 06:08:18
2025-08-25,"2025-08-25T10:08:18.0","2025-08-25T10:18:18.0",2,15,2025-08-25 10:08:18,2025-08-25 10:18:18,2025-08-25 06:08:18,2025-08-25 06:18:18
2025-08-26,"2025-08-26T03:54:29.0","2025-08-26T03:57:29.0",1,1,2025-08-26 03:54:29,2025-08-26 03:57:29,2025-08-25 23:54:29,2025-08-25 23:57:29
2025-08-26,"2025-08-26T03:57:29.0","2025-08-26T04:57:29.0",0,2,2025-08-26 03:57:29,2025-08-26 04:57:29,2025-08-25 23:57:29,2025-08-26 00:57:29
2025-08-26,"2025-08-26T04:57:29.0","2025-08-26T05:32:29.0",1,3,2025-08-26 04:57:29,2025-08-26 05:32:29,2025-08-26 00:57:29,2025-08-26 01:32:29
2025-08-26,"2025-08-26T05:32:29.0","2025-08-26T05:33:29.0",3,4,2025-08-26 05:32:29,2025-08-26 05:33:29,2025-08-26 01:32:29,2025-08-26 01:33:29
2025-08-26,"2025-08-26T05:33:29.0","2025-08-26T05:57:29.0",1,5,2025-08-26 05:33:29,2025-08-26 05:57:29,2025-08-26 01:33:29,2025-08-26 01:57:29
2025-08-26,"2025-08-26T05:57:29.0","2025-08-26T06:21:29.0",0,6,2025-08-26 05:57:29,2025-08-26 06:21:29,2025-08-26 01:57:29,2025-08-26 02:21:29
2025-08-26,"2025-08-26T06:21:29.0","2025-08-26T07:06:29.0",1,7,2025-08-26 06:21:29,2025-08-26 07:06:29,2025-08-26 02:21:29,2025-08-26 03:06:29
2025-08-26,"2025-08-26T07:06:29.0","2025-08-26T07:29:29.0",0,8,2025-08-26 07:06:29,2025-08-26 07:29:29,2025-08-26 03:06:29,2025-08-26 03:29:29
2025-08-26,"2025-08-26T07:29:29.0","2025-08-26T08:41:29.0",1,9,2025-08-26 07:29:29,2025-08-26 08:41:29,2025-08-26 03:29:29,2025-08-26 04:41:29
2025-08-26,"2025-08-26T08:41:29.0","2025-08-26T09:08:29.0",2,10,2025-08-26 08:41:29,2025-08-26 09:08:29,2025-08-26 04:41:29,2025-08-26 05:08:29
2025-08-26,"2025-08-26T09:08:29.0","2025-08-26T09:36:29.0",3,11,2025-08-26 09:08:29,2025-08-26 09:36:29,2025-08-26 05:08:29,2025-08-26 05:36:29
2025-08-26,"2025-08-26T09:36:29.0","2025-08-26T09:47:43.0",1,12,2025-08-26 09:36:29,2025-08-26 09:47:43,2025-08-26 05:36:29,2025-08-26 05:47:43
2025-08-27,"2025-08-27T05:58:04.0","2025-08-27T06:00:04.0",1,1,2025-08-27 05:58:04,2025-08-27 06:00:04,2025-08-27 01:58:04,2025-08-27 02:00:04
2025-08-27,"2025-08-27T06:00:04.0","2025-08-27T06:36:04.0",0,2,2025-08-27 06:00:04,2025-08-27 06:36:04,2025-08-27 02:00:04,2025-08-27 02:36:04
2025-08-27,"2025-08-27T06:36:04.0","2025-08-27T06:38:04.0",3,3,2025-08-27 06:36:04,2025-08-27 06:38:04,2025-08-27 02:36:04,2025-08-27 02:38:04
2025-08-27,"2025-08-27T06:38:04.0","2025-08-27T06:58:04.0",1,4,2025-08-27 06:38:04,2025-08-27 06:58:04,2025-08-27 02:38:04,2025-08-27 02:58:04
2025-08-27,"2025-08-27T06:58:04.0","2025-08-27T07:33:04.0",0,5,2025-08-27 06:58:04,2025-08-27 07:33:04,2025-08-27 02:58:04,2025-08-27 03:33:04
2025-08-27,"2025-08-27T07:33:04.0","2025-08-27T07:42:04.0",1,6,2025-08-27 07:33:04,2025-08-27 07:42:04,2025-08-27 03:33:04,2025-08-27 03:42:04
2025-08-27,"2025-08-27T07:42:04.0","2025-08-27T07:58:04.0",2,7,2025-08-27 07:42:04,2025-08-27 07:58:04,2025-08-27 03:42:04,2025-08-27 03:58:04
2025-08-27,"2025-08-27T07:58:04.0","2025-08-27T08:11:04.0",1,8,2025-08-27 07:58:04,2025-08-27 08:11:04,2025-08-27 03:58:04,2025-08-27 04:11:04
2025-08-27,"2025-08-27T08:11:04.0","2025-08-27T08:12:04.0",3,9,2025-08-27 08:11:04,2025-08-27 08:12:04,2025-08-27 04:11:04,2025-08-27 04:12:04
2025-08-27,"2025-08-27T08:12:04.0","2025-08-27T08:22:04.0",1,10,2025-08-27 08:12:04,2025-08-27 08:22:04,2025-08-27 04:12:04,2025-08-27 04:22:04
2025-08-27,"2025-08-27T08:22:04.0","2025-08-27T08:43:04.0",0,11,2025-08-27 08:22:04,2025-08-27 08:43:04,2025-08-27 04:22:04,2025-08-27 04:43:04
2025-08-27,"2025-08-27T08:43:04.0","2025-08-27T09:10:04.0",1,12,2025-08-27 08:43:04,2025-08-27 09:10:04,2025-08-27 04:43:04,2025-08-27 05:10:04
2025-08-27,"2025-08-27T09:10:04.0","2025-08-27T09:20:04.0",3,13,2025-08-27 09:10:04,2025-08-27 09:20:04,2025-08-27 05:10:04,2025-08-27 05:20:04
2025-08-27,"2025-08-27T09:20:04.0","2025-08-27T10:57:04.0",1,14,2025-08-27 09:20:04,2025-08-27 10:57:04,2025-08-27 05:20:04,2025-08-27 06:57:04
2025-08-27,"2025-08-27T10:57:04.0","2025-08-27T11:12:04.0",2,15,2025-08-27 10:57:04,2025-08-27 11:12:04,2025-08-27 06:57:04,2025-08-27 07:12:04
2025-08-27,"2025-08-27T11:12:04.0","2025-08-27T11:43:04.0",1,16,2025-08-27 11:12:04,2025-08-27 11:43:04,2025-08-27 07:12:04,2025-08-27 07:43:04
2025-08-27,"2025-08-27T11:43:04.0","2025-08-27T11:57:04.0",3,17,2025-08-27 11:43:04,2025-08-27 11:57:04,2025-08-27 07:43:04,2025-08-27 07:57:04
2025-08-27,"2025-08-27T11:57:04.0","2025-08-27T12:12:04.0",1,18,2025-08-27 11:57:04,2025-08-27 12:12:04,2025-08-27 07:57:04,2025-08-27 08:12:04
2025-08-27,"2025-08-27T12:12:04.0","2025-08-27T12:14:04.0",3,19,2025-08-27 12:12:04,2025-08-27 12:14:04,2025-08-27 08:12:04,2025-08-27 08:14:04
2025-08-27,"2025-08-27T12:14:04.0","2025-08-27T12:57:04.0",1,20,2025-08-27 12:14:04,2025-08-27 12:57:04,2025-08-27 08:14:04,2025-08-27 08:57:04
2025-08-27,"2025-08-27T12:57:04.0","2025-08-27T13:07:04.0",3,21,2025-08-27 12:57:04,2025-08-27 13:07:04,2025-08-27 08:57:04,2025-08-27 09:07:04
2025-08-27,"2025-08-27T13:07:04.0","2025-08-27T13:33:04.0",1,22,2025-08-27 13:07:04,2025-08-27 13:33:04,2025-08-27 09:07:04,2025-08-27 09:33:04
2025-08-27,"2025-08-27T13:33:04.0","2025-08-27T13:49:04.0",3,23,2025-08-27 13:33:04,2025-08-27 13:49:04,2025-08-27 09:33:04,2025-08-27 09:49:04
2025-08-27,"2025-08-27T13:49:04.0","2025-08-27T13:59:04.0",1,24,2025-08-27 13:49:04,2025-08-27 13:59:04,2025-08-27 09:49:04,2025-08-27 09:59:04
2025-08-27,"2025-08-27T13:59:04.0","2025-08-27T14:19:04.0",2,25,2025-08-27 13:59:04,2025-08-27 14:19:04,2025-08-27 09:59:04,2025-08-27 10:19:04
2025-08-27,"2025-08-27T14:19:04.0","2025-08-27T14:35:04.0",1,26,2025-08-27 14:19:04,2025-08-27 14:35:04,2025-08-27 10:19:04,2025-08-27 10:35:04
2025-08-28,"2025-08-28T04:18:24.0","2025-08-28T04:28:24.0",1,1,2025-08-28 04:18:24,2025-08-28 04:28:24,2025-08-28 00:18:24,2025-08-28 00:28:24
2025-08-28,"2025-08-28T04:28:24.0","2025-08-28T05:21:24.0",0,2,2025-08-28 04:28:24,2025-08-28 05:21:24,2025-08-28 00:28:24,2025-08-28 01:21:24
2025-08-28,"2025-08-28T05:21:24.0","2025-08-28T05:50:24.0",1,3,2025-08-28 05:21:24,2025-08-28 05:50:24,2025-08-28 01:21:24,2025-08-28 01:50:24
2025-08-28,"2025-08-28T05:50:24.0","2025-08-28T05:56:24.0",0,4,2025-08-28 05:50:24,2025-08-28 05:56:24,2025-08-28 01:50:24,2025-08-28 01:56:24
2025-08-28,"2025-08-28T05:56:24.0","2025-08-28T06:06:24.0",3,5,2025-08-28 05:56:24,2025-08-28 06:06:24,2025-08-28 01:56:24,2025-08-28 02:06:24
2025-08-28,"2025-08-28T06:06:24.0","2025-08-28T07:17:24.0",1,6,2025-08-28 06:06:24,2025-08-28 07:17:24,2025-08-28 02:06:24,2025-08-28 03:17:24
2025-08-28,"2025-08-28T07:17:24.0","2025-08-28T07:40:24.0",0,7,2025-08-28 07:17:24,2025-08-28 07:40:24,2025-08-28 03:17:24,2025-08-28 03:40:24
2025-08-28,"2025-08-28T07:40:24.0","2025-08-28T07:43:24.0",3,8,2025-08-28 07:40:24,2025-08-28 07:43:24,2025-08-28 03:40:24,2025-08-28 03:43:24
2025-08-28,"2025-08-28T07:43:24.0","2025-08-28T08:19:24.0",1,9,2025-08-28 07:43:24,2025-08-28 08:19:24,2025-08-28 03:43:24,2025-08-28 04:19:24
