"hrvValue","readingTimeGMT","readingTimeLocal","calendarDate","colorFlag"
36,2025-08-22 10:06:37,2025-08-22 06:06:37,2025-08-22,"Significant"
37,2025-08-22 10:11:37,2025-08-22 06:11:37,2025-08-22,"Significant"
30,2025-08-22 10:16:37,2025-08-22 06:16:37,2025-08-22,"Significant"
30,2025-08-22 10:21:37,2025-08-22 06:21:37,2025-08-22,"Significant"
31,2025-08-22 10:26:37,2025-08-22 06:26:37,2025-08-22,"Significant"
24,2025-08-22 10:31:37,2025-08-22 06:31:37,2025-08-22,"Significant"
24,2025-08-22 10:36:37,2025-08-22 06:36:37,2025-08-22,"Significant"
23,2025-08-22 10:41:37,2025-08-22 06:41:37,2025-08-22,"Significant"
25,2025-08-22 10:46:37,2025-08-22 06:46:37,2025-08-22,"Significant"
23,2025-08-22 10:51:37,2025-08-22 06:51:37,2025-08-22,"Significant"
29,2025-08-22 10:56:37,2025-08-22 06:56:37,2025-08-22,"Significant"
27,2025-08-22 11:01:37,2025-08-22 07:01:37,2025-08-22,"Significant"
32,2025-08-22 11:06:37,2025-08-22 07:06:37,2025-08-22,"Significant"
36,2025-08-22 11:11:37,2025-08-22 07:11:37,2025-08-22,"Significant"
26,2025-08-22 11:16:37,2025-08-22 07:16:37,2025-08-22,"Significant"
29,2025-08-22 11:21:37,2025-08-22 07:21:37,2025-08-22,"Significant"
30,2025-08-22 11:26:37,2025-08-22 07:26:37,2025-08-22,"Significant"
31,2025-08-22 11:31:37,2025-08-22 07:31:37,2025-08-22,"Significant"
28,2025-08-23 04:41:37,2025-08-23 00:41:37,2025-08-23,"Significant"
30,2025-08-23 04:46:37,2025-08-23 00:46:37,2025-08-23,"Significant"
26,2025-08-23 04:51:37,2025-08-23 00:51:37,2025-08-23,"Significant"
28,2025-08-23 04:56:37,2025-08-23 00:56:37,2025-08-23,"Significant"
22,2025-08-23 05:01:37,2025-08-23 01:01:37,2025-08-23,"Significant"
20,2025-08-23 05:06:37,2025-08-23 01:06:37,2025-08-23,"Significant"
20,2025-08-23 05:11:37,2025-08-23 01:11:37,2025-08-23,"Significant"
20,2025-08-23 05:16:37,2025-08-23 01:16:37,2025-08-23,"Significant"
20,2025-08-23 05:21:37,2025-08-23 01:21:37,2025-08-23,"Significant"
26,2025-08-23 05:26:37,2025-08-23 01:26:37,2025-08-23,"Significant"
23,2025-08-23 05:31:37,2025-08-23 01:31:37,2025-08-23,"Significant"
24,2025-08-23 05:36:37,2025-08-23 01:36:37,2025-08-23,"Significant"
33,2025-08-23 05:41:37,2025-08-23 01:41:37,2025-08-23,"Significant"
32,2025-08-23 05:46:37,2025-08-23 01:46:37,2025-08-23,"Significant"
33,2025-08-23 05:51:37,2025-08-23 01:51:37,2025-08-23,"Significant"
37,2025-08-23 05:56:37,2025-08-23 01:56:37,2025-08-23,"Significant"
34,2025-08-23 06:01:37,2025-08-23 02:01:37,2025-08-23,"Significant"
37,2025-08-23 06:06:37,2025-08-23 02:06:37,2025-08-23,"Significant"
37,2025-08-23 06:11:37,2025-08-23 02:11:37,2025-08-23,"Significant"
34,2025-08-23 06:16:37,2025-08-23 02:16:37,2025-08-23,"Significant"
35,2025-08-23 06:21:37,2025-08-23 02:21:37,2025-08-23,"Significant"
23,2025-08-23 06:26:37,2025-08-23 02:26:37,2025-08-23,"Significant"
18,2025-08-23 06:31:37,2025-08-23 02:31:37,2025-08-23,"Significant"
29,2025-08-23 06:36:37,2025-08-23 02:36:37,2025-08-23,"Significant"
19,2025-08-23 06:41:37,2025-08-23 02:41:37,2025-08-23,"Significant"
22,2025-08-23 06:46:37,2025-08-23 02:46:37,2025-08-23,"Significant"
22,2025-08-23 06:51:37,2025-08-23 02:51:37,2025-08-23,"Significant"
23,2025-08-23 06:56:37,2025-08-23 02:56:37,2025-08-23,"Significant"
24,2025-08-23 07:01:37,2025-08-23 03:01:37,2025-08-23,"Significant"
24,2025-08-23 07:06:37,2025-08-23 03:06:37,2025-08-23,"Significant"
20,2025-08-23 07:11:37,2025-08-23 03:11:37,2025-08-23,"Significant"
19,2025-08-23 07:16:37,2025-08-23 03:16:37,2025-08-23,"Significant"
21,2025-08-23 07:21:37,2025-08-23 03:21:37,2025-08-23,"Significant"
31,2025-08-23 07:26:37,2025-08-23 03:26:37,2025-08-23,"Significant"
30,2025-08-23 07:31:37,2025-08-23 03:31:37,2025-08-23,"Significant"
29,2025-08-23 07:36:37,2025-08-23 03:36:37,2025-08-23,"Significant"
31,2025-08-23 07:41:37,2025-08-23 03:41:37,2025-08-23,"Significant"
29,2025-08-23 07:46:37,2025-08-23 03:46:37,2025-08-23,"Significant"
29,2025-08-23 07:51:37,2025-08-23 03:51:37,2025-08-23,"Significant"
28,2025-08-23 07:56:37,2025-08-23 03:56:37,2025-08-23,"Significant"
33,2025-08-23 08:01:37,2025-08-23 04:01:37,2025-08-23,"Significant"
29,2025-08-23 08:06:37,2025-08-23 04:06:37,2025-08-23,"Significant"
34,2025-08-23 08:11:37,2025-08-23 04:11:37,2025-08-23,"Significant"
27,2025-08-23 08:16:37,2025-08-23 04:16:37,2025-08-23,"Significant"
25,2025-08-23 08:21:37,2025-08-23 04:21:37,2025-08-23,"Significant"
23,2025-08-23 08:26:37,2025-08-23 04:26:37,2025-08-23,"Significant"
23,2025-08-23 08:31:37,2025-08-23 04:31:37,2025-08-23,"Significant"
24,2025-08-23 08:36:37,2025-08-23 04:36:37,2025-08-23,"Significant"
19,2025-08-23 08:41:37,2025-08-23 04:41:37,2025-08-23,"Significant"
19,2025-08-23 08:46:37,2025-08-23 04:46:37,2025-08-23,"Significant"
19,2025-08-23 08:51:37,2025-08-23 04:51:37,2025-08-23,"Significant"
18,2025-08-23 08:56:37,2025-08-23 04:56:37,2025-08-23,"Significant"
